"","country","current_cov","curr_cc_prev","curr_mort_prev","year","country_name","region","income_group"
"1","AFG",1,3789.65,2936.01,2016,"Afghanistan","South Asia","Low income"
"2","AGO",1,11311.8,8260.08,2016,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",1,108.38,65.82,2016,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",1,284.03,214.25,2016,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",1,4845.98,3175.34,2016,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",1,137.69,101.61,2016,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",1,708.84,384.88,2016,"Australia","East Asia & Pacific","High income"
"8","AUT",1,226.52,118.72,2016,"Austria","Europe & Central Asia","High income"
"9","AZE",1,365.25,246.71,2016,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",1,4864.58,4062.4,2016,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",1,438.03,200.17,2016,"Belgium","Europe & Central Asia","High income"
"12","BEN",1,1509.41,1112.87,2016,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",1,3103.17,2575.6,2016,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1,13234.56,9260.06,2016,"Bangladesh","South Asia","Lower middle income"
"15","BGR",1,476.23,261.03,2016,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",1,40.5,26.81,2016,"Bahrain","Middle East & North Africa","High income"
"17","BHS",1,51.76,38.06,2016,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",1,160.46,89.27,2016,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",1,411.52,189.66,2016,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",1,80.58,78.58,2016,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",1,3040.41,2312.9,2016,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1,20832.19,12602.76,2016,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1,34.01,23.14,2016,"Barbados","Latin America & Caribbean","High income"
"24","BRN",1,46.24,15.16,2016,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",1,77.23,51.66,2016,"Bhutan","South Asia","Lower middle income"
"26","BWA",1,734.15,512.2,2016,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",1,894.87,735.12,2016,"Central African Republic","Sub-Saharan Africa","Low income"
