"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578806.89,0,472246.2,0.9,472246.2,0,0,0,0,3731.93,2889.41,6611446.8,2794550.92,2025,0,"Afghanistan","South Asia","Low income"
"2","AGO",574550.4,0,454511.7,0.9,454511.7,0,0,0,0,13368.17,9739.1,10908280.8,11843088.32,2025,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",16255.5,0,14433.3,0.9,14433.3,0,0,0,0,87.11,53.6,605621.27,53486.77,2025,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",52682.85,0,47009.7,0.9,47009.7,0,0,0,0,376.44,288.66,13397764.5,266579.28,2025,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",370341.84,0.53,328275.9,0.9,328275.9,2687.56,1791.98,8111624.54,9437399.12,4563.78,3042.99,13774456.76,16025772.09,2025,-1325774.58,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20510.34,0.08,18140.4,0.9,18140.4,14.11,10.59,38699.52,9592.48,158.75,119.11,435369.6,107915.38,2025,29107.04,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",166770.05,0.66,149397.3,0.9,149397.3,541.85,295.98,31224035.7,843670.2,738.88,403.61,42578230.5,1150459.36,2025,30380365.5,"Australia","East Asia & Pacific","High income"
"8","AUT",41363.92,0,37057.5,0.9,37057.5,0,0,0,0,206.25,109.8,10561387.5,303898.91,2025,0,"Austria","Europe & Central Asia","High income"
"9","AZE",84935.72,0,73642.5,0.9,73642.5,0,0,0,0,459.8,312.29,1767420,336704,2025,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",200400.63,0,161089.2,0.9,161089.2,0,0,0,0,5879.53,4883.01,2255248.8,5756303.34,2025,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66128.33,0.7,59258.7,0.9,59258.7,326.25,151.26,13135678.5,469094.32,419.47,194.48,16888729.5,603121.27,2025,12666584.18,"Belgium","Europe & Central Asia","High income"
"12","BEN",188168.48,0,148404.6,0.9,148404.6,0,0,0,0,1592.37,1168.45,2077664.4,932261.76,2025,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",344672.9,0,269386.2,0.9,269386.2,0,0,0,0,3337.39,2752.24,3771406.8,1852802.45,2025,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1503413.79,0,1284542.1,0.9,1284542.1,0,0,0,0,11153.71,7868.32,17983589.4,8100514.45,2025,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",32649.19,0.03,29076.3,0.9,29076.3,14.55,8.23,40668.05,9365.84,436.42,246.88,1220041.55,280975.35,2025,31302.21,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10547.83,0,9405,0.9,9405,0,0,0,0,45.5,30.17,2680425,36053.6,2025,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2559.4,0,2264.4,0.9,2264.4,0,0,0,0,36.69,26.92,645354,31868.24,2025,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",15899.88,0,14209.2,0.9,14209.2,0,0,0,0,143.33,80.52,596218.03,89390.28,2025,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",59715.51,0,53445.6,0.9,53445.6,0,0,0,0,504.97,236.33,2242577.38,1282517,2025,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3903.76,0.04,3447.9,0.9,3447.9,3.21,3.14,6429.95,2664.1,72.3,70.6,144673.88,59942.24,2025,3765.85,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",121253.77,0.36,103205.7,0.9,103205.7,1076.47,746.86,990774.72,679852.43,2691.17,1867.16,2476936.8,1699631.07,2025,310922.29,"Bolivia","Latin America & Caribbean","Lower middle income"
