"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",578102.99,0.2,467527.5,0.9,467527.5,815.49,631.01,1454530,610657.31,3669.71,2839.55,6545385,2747957.91,2023,843872.69,"Afghanistan","South Asia","Low income"
"2","AGO",555105.29,0.2,430570.8,0.9,430570.8,2794.5,2033.41,2296377.6,2475697.97,12575.26,9150.35,10333699.2,11140640.88,2023,-179320.37,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15482.19,0.2,13719.6,0.9,13719.6,18.36,11.29,127927.65,11273.28,82.62,50.79,575674.42,50729.77,2023,116654.37,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",50104.85,0.2,44687.7,0.9,44687.7,79.33,60.8,2830221,56176.98,356.98,273.59,12735994.5,252796.4,2023,2774044.02,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",366089.19,0.612222222222222,324180,0.9,324180,3057.02,2034.79,9253121.77,10734768.61,4493.99,2991.25,13602592.8,15780694.33,2023,-1481646.84,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",20043.47,0.262222222222222,17693.1,0.9,17693.1,44.92,33.66,123720.64,30536.06,154.18,115.53,424634.4,104805.97,2023,93184.58,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",164394.53,0.713333333333333,147195,0.9,147195,575.89,313.54,33249715,896678.54,726.59,395.59,41950575,1131323.39,2023,32353036.46,"Australia","East Asia & Pacific","High income"
"8","AUT",41151.1,0.2,36870.3,0.9,36870.3,45.45,24.15,2335119,66971.22,204.53,108.67,10508035.5,301370.49,2023,2268147.78,"Austria","Europe & Central Asia","High income"
"9","AZE",78278.46,0.2,67501.8,0.9,67501.8,93.37,63.37,360009.6,68370.59,420.15,285.17,1620043.2,307667.65,2023,291639.01,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",190957.05,0.2,151117.2,0.9,151117.2,1217.41,1010.43,470142.4,1191892.61,5478.33,4546.94,2115640.8,5363516.75,2023,-721750.21,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",66306.92,0.744444444444444,59398.2,0.9,59398.2,346.85,160.38,14002575.67,498708.72,419.33,193.89,16928487,602916.51,2023,13503866.95,"Belgium","Europe & Central Asia","High income"
"12","BEN",180933.27,0.2,141815.7,0.9,141815.7,336.33,246.68,441204.4,196909.21,1513.51,1110.06,1985419.8,886091.45,2023,244295.19,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",334802.39,0.2,258165.9,0.9,258165.9,707.2,582.92,803182.8,392612.75,3182.4,2623.15,3614322.6,1766757.37,2023,410570.05,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1527205.25,0.2,1296503.1,0.9,1296503.1,2492.38,1756.73,4033565.2,1810118.71,11215.69,7905.3,18151043.4,8145534.2,2023,2223446.49,"Bangladesh","South Asia","Lower middle income"
"15","BGR",34831.51,0.223333333333333,30998.7,0.9,30998.7,115.14,64.94,322767.65,74132.19,464.02,261.69,1300705.45,298741.68,2023,248635.46,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",10071.23,0.2,8972.1,0.9,8972.1,9.64,6.39,568233,7635.12,43.36,28.75,2557048.5,34358.03,2023,560597.88,"Bahrain","Middle East & North Africa","High income"
"17","BHS",2832.73,0.2,2506.5,0.9,2506.5,8.98,6.59,158745,7796.5,40.39,29.64,714352.5,35084.26,2023,150948.5,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",16953.84,0.2,15140.7,0.9,15140.7,33.9,18.98,141178.62,21140.07,152.54,85.43,635303.77,95130.3,2023,120038.55,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",54933.47,0.2,49113.9,0.9,49113.9,102.84,48.04,457959.83,261185.8,462.76,216.19,2060819.24,1175336.09,2023,196774.03,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3850.63,0.231111111111111,3398.4,0.9,3398.4,18.18,17.75,36617.47,15070.21,70.78,69.11,142596.86,58686.89,2023,21547.26,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",121555.67,0.48,102838.5,0.9,102838.5,1424.48,983.19,1316332.8,899643,2670.91,1843.47,2468124,1686830.62,2023,416689.8,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1463528.92,0.721111111111111,1289828.7,0.9,1289828.7,13603.84,8204.41,43363786.11,15219773.99,16978.59,10239.71,54121212.25,18995403.6,2023,28144012.12,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1617.37,0.417777777777778,1433.7,0.9,1433.7,12.02,8.2,189673.2,8590.45,25.9,17.66,408604.5,18506.01,2023,181082.75,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3282.11,0.892222222222222,2924.1,0.9,2924.1,40.62,13.34,826166.55,45363.24,40.98,13.46,833368.5,45758.69,2023,780803.31,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6509.3,0.884444444444444,5579.1,0.9,5579.1,64.54,43.6,131584.11,45141.01,65.68,44.37,133898.4,45934.95,2023,86443.1,"Bhutan","South Asia","Lower middle income"
"26","BWA",27437.12,0.371111111111111,23208.3,0.9,23208.3,269.31,181.54,401550.58,200568.7,653.13,440.27,973820.27,486409.13,2023,200981.88,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",80686.93,0.2,60967.8,0.9,60967.8,190.69,156.62,189677.6,151503.89,858.11,704.79,853549.2,681767.52,2023,38173.71,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",198031.65,0.876666666666667,177165.9,0.9,177165.9,882.48,515.23,49183222.35,1711323.59,905.97,528.95,50492281.5,1756872.13,2023,47471898.76,"Canada","North America","High income"
