Height,Weight,Age,Gender,Smokes,Alcohol,Exercise,Ran,Pulse1,Pulse2
179,58,19,2,2,1,2,1,82,150
167,62,18,2,2,1,1,1,96,176
184,74,22,1,2,1,3,1,78,141
168,60,23,1,2,1,2,1,88,150
170,75,20,1,2,1,1,1,76,88
180,70,18,1,2,1,2,1,80,146
140,50,34,2,2,2,3,1,70,98
177,74,18,2,2,2,2,1,70,96
189,60,19,1,2,1,2,1,78,168
178,56,21,2,2,1,2,1,86,150
175,75,20,1,2,1,2,1,59,92
180,85,19,1,1,1,2,1,68,125
160,57,19,2,2,2,2,1,75,130
164,66,23,2,2,2,3,1,74,168
175,65,19,1,2,1,2,1,60,104
163,55,20,2,2,2,2,1,70,119
185,90,18,1,2,2,3,1,80,140
174,60,19,2,2,1,3,1,66,89
157,41,20,2,2,2,2,1,70,95
182,63,20,1,2,1,1,1,56,110
173,70,20,1,2,1,1,1,64,126
158,51,18,2,2,2,2,1,68,84
180,75,20,1,2,1,2,1,65,82
180,77,18,2,2,2,2,1,47,136
188,87,20,1,2,1,1,1,50,90
166,50,19,2,2,1,3,1,76,132
175,57,20,2,2,1,2,1,72,115
182,98,19,1,2,1,2,1,76,150
151,42,22,2,2,2,3,1,85,130
186,87,23,1,2,1,1,1,49,83
179,80,20,1,2,1,2,1,145,155
172,53,20,1,2,2,3,1,72,136
163,51,18,2,2,1,3,1,70,120
191,78,19,1,2,1,1,1,68,136
172,59,18,2,2,1,2,1,78,129
194,95,18,1,2,1,2,1,84,140
162,50,19,2,2,1,2,1,90,160
175,78.5,19,1,2,1,3,1,85,131
186,96,19,1,2,1,3,1,78,132
164,78,28,2,2,2,2,1,64,120
180,65,20,1,2,2,2,1,88,144
165,60,19,2,1,1,3,1,88,120
68,63,19,1,2,2,2,1,88,136
170,63,20,2,2,1,3,1,92,120
179,80,20,1,2,2,2,1,76,168
163,47,23,2,1,1,3,1,71,125
