Symbol,Name,Exchange,Sector,Price,PricetoEarnings,DividendYield,EarningsperShare,FiftytwoWeekHigh,FiftytwoWeekLow,MarketCap_000s,EBITDA,PricetoSales,PricetoBook
ATVI,Activision Blizzard,NASDAQ,Information_Technology,65.83,31.8,0.43,1.28,74.945,38.93,52518668,2704000000,10.59512,5.16
ADBE,Adobe Systems Inc,NASDAQ,Information_Technology,185.16,52.31,0,3.39,204.45,114.451,94550214,2538040000,13.092818,11.06
AMD,Advanced Micro Devices Inc,NASDAQ,Information_Technology,11.22,187,,0.03,15.65,9.7,11191664,339000000,2.1091955,21.47
ALGN,Align Technology,NASDAQ,Health_Care,220.71,56.59,,2.84,287.32,92.61,18788041,380326000,13.138819,16.44
GOOGL,Alphabet Inc Class A,NASDAQ,Information_Technology,1007.71,31.48,,22.27,1198,824.3,733823966,34217000000,6.801692,4.7
GOOG,Alphabet Inc Class C,NASDAQ,Information_Technology,1001.52,40.29,,22.27,1186.89,803.1903,728535558,32714000000,6.772653,4.67
AMZN,Amazon.com Inc,NASDAQ,Consumer_Discretionary,1350.5,296.16,0,6.16,1498,812.5,685873375,16132000000,3.927053,24.28
AEP,American Electric Power,NASDAQ,Utilities,63.38,17.32,3.85,1.24,78.07,62.69,31701917,4450800000,2.7489934,1.81
AMGN,Amgen Inc,NASDAQ,Health_Care,173.12,13.76,2.98,2.57,201.23,152.16,128133340,11945000000,5.58192,3.91
ADI,"Analog Devices, Inc.",NASDAQ,Information_Technology,82.68,17.67,2.11,2.11,98.38,74.65,31811579,1663384000,8.00391,3.13
ANSS,ANSYS,NASDAQ,Information_Technology,148.84,42.53,0,2.99,164.9,94.52,13155919,458515000,16.8134,5.79
AAPL,Apple Inc.,NASDAQ,Information_Technology,155.15,16.86,1.58,9.2,180.1,131.12,809508034,79386000000,3.4586093,5.66
AMAT,Applied Materials Inc,NASDAQ,Information_Technology,45.75,14.08,0.82,3.17,60.89,34.58,51296482,4336000000,4.7020154,5.44
ADSK,Autodesk Inc,NASDAQ,Information_Technology,104.81,-77.07,0,-2.61,131.1,81.75,24348295,-378100000,16.50682,224.13
ADP,Automatic Data Processing,NASDAQ,Information_Technology,108.25,29.34,2.22,3.85,125.24,95.5,50337702,2767400000,4.0483294,12.86
