Symbol,Name,Exchange,Sector,Price,PricetoEarnings,DividendYield,EarningsperShare,FiftytwoWeekHigh,FiftytwoWeekLow,MarketCap_000s,EBITDA,PricetoSales,PricetoBook
MMM,3M Company,NYSE,Industrials,222.89,24.31,2.33,7.92,259.77,175.49,138721055,9048000000,4.3902707,11.34
AOS,A.O. Smith Corp,NYSE,Industrials,60.24,27.76,1.15,1.7,68.39,48.925,10783420,601000000,3.5754826,6.35
ABT,Abbott Laboratories,NYSE,Health_Care,56.27,22.51,1.91,0.26,64.6,42.28,102121042,5744000000,3.7404804,3.19
ABBV,AbbVie Inc.,NYSE,Health_Care,108.48,19.41,2.5,3.29,125.86,60.05,181386347,10310000000,6.291571,26.14
ACN,Accenture plc,NYSE,Information_Technology,150.51,25.47,1.71,5.44,162.6,114.82,98765856,5643228000,2.604117,10.62
AYI,Acuity Brands Inc,NYSE,Industrials,145.41,18.22,0.35,7.43,225.36,142,6242378,587800000,1.7953473,3.55
AAP,Advance Auto Parts,NYSE,Consumer_Discretionary,109.63,19.54,0.22,6.19,169.55,78.81,8123612,853941000,1.1301061,2.51
AES,AES Corp,NYSE,Utilities,10.06,9.96,4.96,-1.72,12.05,10,6920851,3001000000,0.65951383,2.2
AET,Aetna Inc,NYSE,Health_Care,178,18.11,1.1,5.75,194.4,119.51,59197016,4139000000,0.9923546,3.79
AMG,Affiliated Managers Group Inc,NYSE,Financials,179.11,12.24,0.64,12.07,216.995,148.81,10442174,1261400000,4.591235,2.89
AFL,AFLAC Inc,NYSE,Financials,83.25,12.24,2.43,11.01,91.73,68.8,33422948,0,1.5429344,1.53
A,Agilent Technologies Inc,NYSE,Health_Care,65.05,27.45,0.88,2.1,75,49.23,21984607,1094000000,6.493563,4.56
APD,Air Products & Chemicals Inc,NYSE,Materials,152.8,24.22,2.78,13.66,175.17,133.6301,34638387,2542500000,4.1163683,3.35
ALK,Alaska Air Group Inc,NYSE,Industrials,64.04,9.66,1.99,8.28,101.43,59.25,7903174,1665000000,0.9801092,2.21
ALB,Albemarle Corp,NYSE,Materials,105.18,26.03,1.2,5.66,144.99,90.35,11782151,686030000,5.3666205,2.98
ARE,Alexandria Real Estate Equities Inc,NYSE,Real_Estate,114.58,19.03,3.03,1.57,134.37,106.89,12043374,0,10.492155,2.07
ALLE,Allegion,NYSE,Industrials,77.32,21.07,0.8,2.37,89.81,66.72,7599609,531800000,4.265232,20.48
AGN,"Allergan, Plc",NYSE,Health_Care,164.2,10.65,1.64,38.35,256.8,160.07,56668834,-2888100000,4.820115,0.83
ADS,Alliance Data Systems,NYSE,Information_Technology,240.6,13.02,0.92,14.13,278.33,209,13632609,2143200000,1.7282298,8.28
LNT,Alliant Energy Corp,NYSE,Utilities,37.14,19.86,3.57,1.65,45.55,36.84,8670164,1168400000,3.4331481,2.13
ALL,Allstate Corp,NYSE,Financials,90.06,13.26,1.53,4.68,105.36,77.73,34759469,0,1.2085556,1.67
MO,Altria Group Inc,NYSE,Consumer_Staples,64.05,18.89,3.95,5.31,77.79,60.01,126985101,10773000000,4.945682,10.32
AEE,Ameren Corp,NYSE,Utilities,52.59,20.38,3.44,2.68,64.89,51.81,12905745,2298000000,2.693119,1.79
AXP,American Express Co,NYSE,Financials,88.34,15,1.5,2.9,102.385,75.51,80410990,0,2.273575,3.75
AIG,"American International Group, Inc.",NYSE,Financials,58.28,23.22,2.12,-0.76,67.3,57.85,54360073,0,1.4686536,0.75
AMT,American Tower Corp A,NYSE,Real_Estate,133.57,20.68,2,1.97,155.28,103.36,59213893,3792383000,11.954137,9.22
AWK,American Water Works Company Inc,NYSE,Utilities,76.06,26.23,2.13,2.63,92.37,71.89,13906146,1711000000,5.553833,2.55
AMP,Ameriprise Financial,NYSE,Financials,152.5,12.41,2.07,9.44,183.9,118.84,23472126,0,1.9493247,3.73
ABC,AmerisourceBergen Corp,NYSE,Health_Care,91.55,15.54,1.61,1.64,106.27,71.9,20587704,991884000,0.17396984,9.73
AME,AMETEK Inc,NYSE,Industrials,72.05,27.61,0.76,2.94,78.51,51.31,17139652,1025763000,4.015368,4.54
APH,Amphenol Corp,NYSE,Information_Technology,84.44,25.9,0.86,2.05,93.62,67.26,26955335,1671700000,3.85675,6.64
APC,Anadarko Petroleum Corp,NYSE,Energy,56.2,-21.29,1.7,-5.9,70,39.96,32129092,3115000000,3.9682212,2.88
ANTM,Anthem Inc.,NYSE,Health_Care,230.57,19.23,1.26,14.36,267.95,156.81,61221979,0,0.6696521,2.28
AON,Aon plc,NYSE,Financials,136.05,20.8,1.02,4.66,152.78,113.2201,35123123,1858000000,3.4972682,6.78
APA,Apache Corporation,NYSE,Energy,37.73,-251.53,2.53,-3.72,57.9,38.14,15066281,3265000000,3.651366,2.22
AIV,Apartment Investment & Management,NYSE,Real_Estate,38.21,15.6,3.88,1.95,46.855,38.85,6156884,874871000,6.187621,4.69
ADM,Archer-Daniels-Midland Co,NYSE,Consumer_Staples,41.35,17.45,3.18,2.17,47.44,38.59,23594771,2927000000,0.52478915,1.29
AJG,Arthur J. Gallagher & Co.,NYSE,Financials,64.4,21.05,2.48,2.54,70.55,53.63,11968488,888000000,1.9400215,2.92
AIZ,Assurant Inc,NYSE,Financials,85.16,33.27,2.53,9.08,106.985,85.91,4653994,0,0.9821866,1.12
T,AT&T Inc,NYSE,Telecomm_Services,35.57,12.14,5.42,4.76,42.7,32.55,226713270,49653000000,1.4083152,1.8
AZO,AutoZone Inc,NYSE,Consumer_Discretionary,718.57,16.31,0,44.09,797.89,491.13,19922021,2347304000,1.8510429,136.23
AVB,"AvalonBay Communities, Inc.",NYSE,Real_Estate,154.94,17.97,3.71,6.36,199.52,156.01,21856547,1331579000,10.251216,2.12
AVY,Avery Dennison Corp,NYSE,Materials,110.77,22.11,1.57,3.11,123.67,78.471,10104814,831200000,1.5206499,8.83
BLL,Ball Corp,NYSE,Materials,38.44,20.56,1.02,0.85,43.24,35.6,13767689,1317000000,1.5696399,3.62
BAC,Bank of America Corp,NYSE,Financials,29.74,16.34,1.54,1.55,32.67,22.07,321478201,0,3.2011874,1.24
BAX,Baxter International Inc.,NYSE,Health_Care,62.56,25.12,0.98,1.29,72.58,48.15,35713733,1832000000,3.4394414,3.77
BBT,BB&T Corporation,NYSE,Financials,51.07,16.26,2.45,2.74,55.99,41.17,42087563,0,3.4552107,1.55
BDX,Becton Dickinson,NYSE,Health_Care,211.44,22.28,1.35,4.65,248.3888,175.66,50910180,1537000000,5.6912947,3.98
BRK.B,Berkshire Hathaway,NYSE,Financials,191.42,30.43,0,9.76,217.62,160.93,261401204,0,1.4328232,1.58
BBY,Best Buy Co. Inc.,NYSE,Consumer_Discretionary,68.79,19.22,1.91,3.81,78.59,41.67,20831186,2555000000,0.76715523,4.79
BLK,BlackRock,NYSE,Financials,509.38,22.49,2.16,30.3,594.52,368,85907760,5684000000,6.9158196,2.95
HRB,Block H&R,NYSE,Financials,25.19,12.29,3.73,1.92,31.8,19.85,5381434,894754000,2.0188456,205.41
BA,Boeing Company,NYSE,Industrials,329.66,27.29,1.96,13.47,361.45,163.69,205617405,12476000000,2.1560605,182.86
BWA,BorgWarner,NYSE,Consumer_Discretionary,51.94,14.15,1.24,0.55,58.22,37.54,11596117,867900000,1.5831376,2.89
