"","Num","Player","Age","Position","G_played","G_started","Int","Int_Yds","Int_TD","Lng","PD","FF","Fmb","FR","F_Yds","F_TD","Sacks","Comb","Solo","Ast","TFL","QBHits","Sacks_cat"
"1",58,"Roquan Smith",24,"LB",17,17,1,53,1,53,3,NA,NA,NA,NA,NA,3,163,95,68,12,4,"Many"
"8",98,"Bilal Nichols",25,"DT",17,15,0,0,0,0,1,0,0,2,12,0,3,51,26,25,5,9,"Many"
"9",22,"Kindle Vildor",24,"DB",17,12,0,0,0,0,4,NA,NA,NA,NA,NA,1,46,33,13,1,1,NA
"11",90,"Angelo Blackson",29,"DE",17,8,1,6,0,6,2,NA,NA,NA,NA,NA,2.5,43,24,19,3,9,NA
"17",57,"Christian Jones",30,"LB",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,13,11,0,0,NA
"21",23,"Marqui Christian",27,"DB",17,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,12,7,5,0,0,NA
"28",24,"Khalil Herbert",23,"RB",17,2,NA,NA,NA,NA,NA,0,1,3,0,0,0,3,1,2,0,0,NA
"29",11,"Darnell Mooney",24,"WR",17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,0,NA
"30",67,"Sam Mustipher",25,"OL",17,17,NA,NA,NA,NA,NA,0,5,0,0,0,0,1,1,0,0,0,NA
"33",85,"Cole Kmet",22,"TE",17,17,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,0,NA
"36",68,"James Daniels",24,"OL",17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA
"38",16,"Pat O'Donnell",30,"P",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA
"40",65,"Cody Whitehair",29,"OL",17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA
"41",10,"Damiere Byrd",28,"WR",17,4,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"2",44,"Alec Ogletree",30,"LB",16,16,0,0,0,0,4,1,0,0,0,0,0,87,55,32,5,3,NA
"4",94,"Robert Quinn",31,"LB",16,16,NA,NA,NA,NA,NA,4,0,0,0,0,18.5,49,38,11,17,22,"Many"
"12",99,"Trevis Gipson",24,"LB",16,9,0,0,0,0,2,5,0,1,0,0,7,39,23,16,7,7,"Many"
"7",33,"Jaylon Johnson",22,"DB",15,15,1,3,0,3,9,1,0,0,0,0,0,46,37,9,1,0,NA
"18",95,"Khyiris Tonga",25,"DT",15,2,NA,NA,NA,NA,NA,0,0,1,0,0,0,24,10,14,1,0,NA
"37",80,"Jimmy Graham",35,"TE",15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA
"39",71,"Jason Peters",39,"OL",15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA
"3",4,"Eddie Jackson",28,"DB",14,14,0,0,0,0,2,1,0,0,0,0,0,76,54,22,4,0,NA
"10",26,"Deon Bush",28,"DB",14,4,2,42,0,27,5,NA,NA,NA,NA,NA,0,40,31,9,0,0,NA
"43",84,"Marquise Goodwin",31,"WR",14,2,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"5",36,"DeAndre Houston-Carson",28,"DB",13,3,1,0,0,0,4,0,0,2,25,1,0,51,33,18,0,0,NA
"20",21,"Xavier Crawford",26,"DB",13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,11,4,0,0,NA
"34",32,"David Montgomery",24,"RB",13,13,NA,NA,NA,NA,NA,0,1,1,3,0,0,1,0,1,0,0,NA
"6",38,"Tashaun Gipson",31,"DB",12,12,2,31,0,31,3,0,0,1,13,0,1,47,33,14,1,1,NA
"23",1,"Justin Fields",22,"QB",12,10,NA,NA,NA,NA,NA,0,12,4,-11,0,0,NA,NA,NA,NA,NA,NA
"25",97,"Mario Edwards",27,"DE",12,1,0,0,0,0,1,NA,NA,NA,NA,NA,2,8,2,6,1,5,NA
"27",8,"Damien Williams",29,"RB",12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,4,1,0,0,NA
"32",12,"Allen Robinson",28,"WR",12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,NA
"15",25,"Artie Burns",26,"DB",11,6,0,0,0,0,6,NA,NA,NA,NA,NA,0,23,19,4,1,0,NA
"13",20,"Duke Shelley",25,"DB",10,4,0,0,0,0,3,NA,NA,NA,NA,NA,0,37,30,7,0,0,NA
"14",96,"Akiem Hicks",32,"DT",9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,25,19,6,5,9,"Many"
"44",74,"Germain Ifedi",27,"OL",9,7,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"31",14,"Andy Dalton",34,"QB",8,6,NA,NA,NA,NA,NA,0,1,2,0,0,0,2,1,1,0,0,NA
"16",52,"Khalil Mack",30,"LB",7,7,NA,NA,NA,NA,NA,0,0,1,23,0,6,19,15,4,6,7,"Many"
"24",37,"Teez Tabor",26,"DB",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,6,2,0,0,NA
"26",46,"Bruce Irvin",34,"LB",6,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,7,2,5,0,2,NA
"19",59,"Danny Trevathan",31,"LB",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,8,11,1,0,NA
"22",27,"Thomas Graham",22,"DB",4,1,0,0,0,0,4,NA,NA,NA,NA,NA,0,13,6,7,1,0,NA
"35",83,"Dazz Newsome",22,"WR",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,1,0,0,NA
"42",9,"Nick Foles",32,"QB",1,1,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
