squirrel,color
1,Gray
2,Gray
3,Gray
4,Black
5,Cinnamon
6,Gray
7,Gray
8,Gray
9,Gray
10,Gray
11,Gray
12,Black
13,Gray
14,Gray
15,Gray
16,Black
17,Gray
18,Cinnamon
19,Gray
20,Gray
21,Gray
22,Gray
23,Gray
24,Gray
25,Gray
26,Gray
27,Gray
28,Gray
29,Gray
30,Gray
31,Gray
32,Gray
33,Gray
34,Cinnamon
35,Gray
36,Gray
37,Gray
38,Gray
39,Gray
40,Gray
41,Cinnamon
42,Gray
43,Gray
44,Black
45,Gray
46,Gray
47,Gray
48,Black
49,Gray
50,Gray
51,Black
52,Gray
53,Gray
54,Gray
55,Gray
56,Gray
57,Gray
58,Gray
59,Gray
60,Cinnamon
61,Black
62,Gray
63,Gray
64,Gray
65,Gray
66,Gray
67,Gray
68,Gray
69,Gray
70,Gray
71,Gray
72,Gray
73,Gray
74,Gray
75,Gray
76,Cinnamon
77,Gray
78,Gray
79,Gray
80,Gray
81,Gray
82,Gray
83,Gray
84,Gray
85,Gray
86,Gray
87,Gray
88,Black
89,Gray
90,Gray
91,Gray
92,Black
93,Gray
94,Gray
95,Gray
96,Cinnamon
97,Gray
98,Cinnamon
99,Gray
100,Gray
101,Gray
102,Gray
103,Gray
104,Gray
105,Gray
106,Gray
107,Black
108,Gray
109,Gray
110,Gray
111,Gray
112,Gray
113,Gray
114,Cinnamon
115,Gray
116,Gray
117,Cinnamon
118,Gray
119,Gray
120,Gray
121,Gray
122,Gray
123,Gray
124,Cinnamon
125,Gray
126,Black
127,Gray
128,Gray
129,Gray
130,Gray
131,Gray
132,Cinnamon
133,Gray
134,Cinnamon
135,Cinnamon
136,Cinnamon
137,Gray
138,Gray
139,Cinnamon
140,Gray
141,Gray
142,Gray
143,Gray
144,Cinnamon
145,Gray
146,Gray
147,Gray
148,Cinnamon
149,Gray
150,Gray
151,Gray
152,Cinnamon
153,Gray
154,Cinnamon
155,Black
156,Gray
157,Gray
158,Gray
159,Gray
160,Gray
161,Gray
162,Cinnamon
163,Gray
164,Gray
165,Gray
166,Gray
167,Black
168,Gray
169,Gray
170,Gray
171,Cinnamon
172,Gray
173,Gray
174,Gray
175,Cinnamon
176,Gray
177,Gray
178,Gray
179,Cinnamon
180,Gray
181,Gray
182,Gray
183,Gray
184,Gray
185,Gray
186,Gray
187,Cinnamon
188,Gray
189,Gray
190,Gray
191,Gray
192,Gray
193,Gray
194,Black
195,Gray
196,Gray
197,Gray
198,Gray
199,Gray
200,Gray
201,Gray
202,Gray
203,Gray
204,Gray
205,Gray
206,Gray
207,Gray
208,Gray
209,Black
210,Gray
211,Gray
212,Gray
213,Gray
214,Gray
215,Gray
216,Gray
217,Gray
218,Gray
219,Cinnamon
220,Cinnamon
221,Gray
222,Gray
223,Black
224,Gray
225,Gray
226,Gray
227,Black
228,Gray
229,Cinnamon
230,Gray
231,Gray
232,Gray
233,Gray
234,Gray
235,Gray
236,Cinnamon
237,Gray
238,Gray
239,Gray
240,Gray
241,Gray
242,Gray
243,Gray
244,Gray
245,Black
246,Gray
247,Gray
248,Gray
249,Gray
250,Gray
251,Gray
252,Gray
253,Black
254,Gray
255,Cinnamon
256,Gray
257,Gray
258,Cinnamon
259,Gray
260,Gray
261,Gray
262,Black
263,Gray
264,Gray
265,Cinnamon
266,Gray
267,Gray
268,Gray
269,Gray
270,Gray
271,Gray
272,Gray
273,Gray
274,Gray
275,Cinnamon
276,Gray
277,Gray
278,Gray
279,Gray
280,Gray
281,Gray
282,Cinnamon
283,Gray
284,Gray
285,Gray
286,Gray
287,Gray
288,Gray
289,Cinnamon
290,Black
291,Gray
292,Gray
293,Gray
294,Gray
295,Gray
296,Black
297,Gray
298,Gray
299,Gray
300,Gray
301,Cinnamon
302,Cinnamon
303,Gray
304,Gray
305,Gray
306,Gray
307,Gray
308,Cinnamon
309,Gray
310,Gray
311,Gray
312,Gray
313,Gray
314,Gray
315,Gray
316,Gray
317,Gray
318,Gray
319,Gray
320,Gray
321,Gray
322,Gray
323,Black
324,Gray
325,Gray
326,Gray
327,Gray
328,Cinnamon
329,Cinnamon
330,Gray
331,Gray
332,Gray
333,Gray
334,Gray
335,Cinnamon
336,Gray
337,Cinnamon
338,Cinnamon
339,Gray
340,Gray
341,Gray
342,Gray
343,Gray
344,Gray
345,Black
346,Gray
347,Gray
348,Gray
349,Gray
350,Gray
351,Gray
352,Gray
353,Gray
354,Gray
355,Cinnamon
356,Gray
357,Gray
358,Gray
359,Black
360,Gray
361,Gray
362,Gray
363,Gray
364,Gray
365,Gray
366,Gray
367,Gray
368,Gray
369,Gray
370,Cinnamon
371,Gray
372,Gray
373,Black
374,Gray
375,Gray
376,Gray
377,Gray
378,Gray
379,Gray
380,Black
381,Gray
382,Gray
383,Gray
384,Gray
385,Gray
386,Gray
387,Cinnamon
388,Gray
389,Gray
390,Gray
391,Gray
392,Gray
393,Gray
394,Black
395,Gray
396,Cinnamon
397,Gray
398,Gray
399,Gray
400,Gray
401,Gray
402,Gray
