Event #,ET,IT (rv),ST (rv),TM,SS ,#WL,AT,DT,#INSYS,TIME between events,,,,Fraction of time busy,Average in the system,,,,,,
0,,,,0,0,0,0.00,9999.00,0,0,,,,,,,,,,,
1,Arrival,4.90,1.13,0.00,1,0,4.90,1.13,1,1.13,,,,,,,,,,,
2,Departure,1.89,4.01,1.13,0,0,,,0,-1.13,,,,,,,,,,,
3,Departure,5.92,1.98,0.00,0,0,,,0,0.00,,,,,,,,,,,
4,Departure,12.50,0.33,0.00,0,0,,,0,0.00,,,,,,,,,,,
5,Departure,4.38,12.49,0.00,0,0,,,0,0.00,,,,,,,,,,,
6,Departure,10.74,9.86,0.00,0,0,,,0,0.00,,,,,,,,,,,
7,Departure,22.14,0.33,0.00,0,0,,,0,0.00,,,,,,,,,,,
8,Departure,0.30,11.55,0.00,0,0,,,0,0.00,,,,,,,,,,,
9,Departure,1.66,11.32,0.00,0,0,,,0,0.00,,,,,,,,,,,
10,Departure,0.55,0.88,0.00,0,0,,,0,0.00,,,,,,,,,,,
11,Departure,23.70,7.48,0.00,0,0,,,0,0.00,,,,,,,,,,,
12,Departure,0.41,11.23,0.00,0,0,,,0,0.00,,,,,,,,,,,
13,Departure,9.11,5.03,0.00,0,0,,,0,0.00,,,,,,,,,,,
14,Departure,8.00,2.28,0.00,0,0,,,0,0.00,,,,,,,,,,,
15,Departure,3.21,2.98,0.00,0,0,,,0,0.00,,,,,,,,,,,
16,Departure,2.72,0.05,0.00,0,0,,,0,0.00,,,,,,,,,,,
17,Departure,0.31,0.29,0.00,0,0,,,0,0.00,,,,,,,,,,,
18,Departure,2.99,14.85,0.00,0,0,,,0,0.00,,,,,,,,,,,
19,Departure,15.60,3.58,0.00,0,0,,,0,0.00,,,,,,,,,,,
20,Departure,3.62,1.68,0.00,0,0,,,0,0.00,,,,,,,,,,,
21,Departure,0.83,3.25,0.00,0,0,,,0,0.00,,,,,,,,,,,
22,Departure,13.17,2.29,0.00,0,0,,,0,0.00,,,,,,,,,,,
23,Departure,12.90,2.74,0.00,0,0,,,0,0.00,,,,,,,,,,,
24,Departure,7.58,1.06,0.00,0,0,,,0,0.00,,,,,,,,,,,
25,Departure,4.75,0.55,0.00,0,0,,,0,0.00,,,,,,,,,,,
26,Departure,3.43,6.79,0.00,0,0,,,0,0.00,,,,,,,,,,,
27,Departure,5.39,5.69,0.00,0,0,,,0,0.00,,,,,,,,,,,
28,Departure,0.37,7.49,0.00,0,0,,,0,0.00,,,,,,,,,,,
29,Departure,0.40,1.83,0.00,0,0,,,0,0.00,,,,,,,,,,,
30,Departure,1.81,6.73,0.00,0,0,,,0,0.00,,,,,,,,,,,
31,Departure,2.79,4.09,0.00,0,0,,,0,0.00,,,,,,,,,,,
32,Departure,1.88,2.53,0.00,0,0,,,0,0.00,,,,,,,,,,,
33,Departure,2.20,5.79,0.00,0,0,,,0,0.00,,,,,,,,,,,
