Event #,ET,IT (rv),ST (rv),TM,SS ,#WL,AT,DT,#INSYS,TIME between events,,,,Fraction of time busy,Average in the system,
0,,,,0,0,0,0.00,9999.00,0,0,,,,77 %,2.76,
1,Arrival,4.90,1.13,0.00,1,0,4.90,1.13,1,1.13,,,,,,
2,Departure,1.89,4.01,1.13,0,0,4.90,9999.00,0,3.76,,,,,,
3,Arrival,5.92,1.98,4.90,1,0,10.82,6.88,1,1.98,,,,,,
4,Departure,12.50,0.33,6.88,0,0,10.82,9999.00,0,3.94,,,,,,
5,Arrival,4.38,12.49,10.82,1,0,15.20,23.31,1,4.38,,,,,,
6,Arrival,10.74,9.86,15.20,1,1,25.94,23.31,2,8.11,,,,,,
7,Departure,22.14,0.33,23.31,1,0,25.94,23.65,1,0.33,,,,,,
8,Departure,0.30,11.55,23.65,0,0,25.94,9999.00,0,2.30,,,,,,
9,Arrival,1.66,11.32,25.94,1,0,27.60,37.27,1,1.66,,,,,,
10,Arrival,0.55,0.88,27.60,1,1,28.15,37.27,2,0.55,,,,,,
11,Arrival,23.70,7.48,28.15,1,2,51.85,37.27,3,9.11,,,,,,
12,Departure,0.41,11.23,37.27,1,1,51.85,48.50,2,11.23,,,,,,
13,Departure,9.11,5.03,48.50,1,0,51.85,53.53,1,3.36,,,,,,
14,Arrival,8.00,2.28,51.85,1,1,59.85,53.53,2,1.67,,,,,,
15,Departure,3.21,2.98,53.53,1,0,59.85,56.50,1,2.98,,,,,,
16,Departure,2.72,0.05,56.50,0,0,59.85,9999.00,0,3.35,,,,,,
17,Arrival,0.31,0.29,59.85,1,0,60.17,60.14,1,0.29,,,,,,
18,Departure,2.99,14.85,60.14,0,0,60.17,9999.00,0,0.02,,,,,,
19,Arrival,15.60,3.58,60.17,1,0,75.77,63.75,1,3.58,,,,,,
20,Departure,3.62,1.68,63.75,0,0,75.77,9999.00,0,12.02,,,,,,
21,Arrival,0.83,3.25,75.77,1,0,76.60,79.02,1,0.83,,,,,,
22,Arrival,13.17,2.29,76.60,1,1,89.77,79.02,2,2.42,,,,,,
23,Departure,12.90,2.74,79.02,1,0,89.77,81.76,1,2.74,,,,,,
24,Departure,7.58,1.06,81.76,0,0,89.77,9999.00,0,8.02,,,,,,
25,Arrival,4.75,0.55,89.77,1,0,94.52,90.32,1,0.55,,,,,,
26,Departure,3.43,6.79,90.32,0,0,94.52,9999.00,0,4.20,,,,,,
27,Arrival,5.39,5.69,94.52,1,0,99.91,100.21,1,5.39,,,,,,
