Day,Section,Inquiry,Obs
1,News,11,1
1,News,8,2
1,News,6,3
1,News,8,4
2,News,9,1
2,News,10,2
2,News,10,3
2,News,12,4
3,News,8,1
3,News,9,2
3,News,9,3
3,News,11,4
4,News,4,1
4,News,5,2
4,News,3,3
4,News,5,4
5,News,13,1
5,News,12,2
5,News,11,3
5,News,14,4
1,Business,10,1
1,Business,12,2
1,Business,13,3
1,Business,11,4
2,Business,7,1
2,Business,8,2
2,Business,11,3
2,Business,9,4
3,Business,7,1
3,Business,8,2
3,Business,10,3
3,Business,9,4
4,Business,9,1
4,Business,6,2
4,Business,8,3
4,Business,8,4
5,Business,10,1
5,Business,9,2
5,Business,9,3
5,Business,8,4
1,Sports,4,1
1,Sports,3,2
1,Sports,5,3
1,Sports,6,4
2,Sports,5,1
2,Sports,8,2
2,Sports,6,3
2,Sports,7,4
3,Sports,5,1
3,Sports,9,2
3,Sports,7,3
3,Sports,6,4
4,Sports,7,1
4,Sports,6,2
4,Sports,6,3
4,Sports,5,4
5,Sports,12,1
5,Sports,10,2
5,Sports,11,3
5,Sports,12,4
