mpg disp hp wt qsec
21.0 160.0 110 2.620 16.46
21.0 160.0 110 2.875 17.02
22.8 108.0  93 2.320 18.61
21.4 258.0 110 3.215 19.44
18.7 360.0 175 3.440 17.02
18.1 225.0 105 3.460 20.22
14.3 360.0 245 3.570 15.84
24.4 146.7  62 3.190 20.00
22.8 140.8  95 3.150 22.90
19.2 167.6 123 3.440 18.30
17.8 167.6 123 3.440 18.90
16.4 275.8 180 4.070 17.40
17.3 275.8 180 3.730 17.60
15.2 275.8 180 3.780 18.00
10.4 472.0 205 5.250 17.98
10.4 460.0 215 5.424 17.82
14.7 440.0 230 5.345 17.42
32.4  78.7  66 2.200 19.47
30.4  75.7  52 1.615 18.52
33.9  71.1  65 1.835 19.90
21.5 120.1  97 2.465 20.01
15.5 318.0 150 3.520 16.87
15.2 304.0 150 3.435 17.30
13.3 350.0 245 3.840 15.41
19.2 400.0 175 3.845 17.05
27.3  79.0  66 1.935 18.90
26.0 120.3  91 2.140 16.70
30.4  95.1 113 1.513 16.90
15.8 351.0 264 3.170 14.50
19.7 145.0 175 2.770 15.50
15.0 301.0 335 3.570 14.60
21.4 121.0 109 2.780 18.60
